Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
ant,not,1.3,knn,baseline,0.2536503963287442,{'classification__n_neighbors': 1},0.5317460317460317,0.3218390804597701,0.6,0.1464652236036662,0.208955223880597,0.7,0.5,0.5,0.587689437438234,0.5916079783099616,0.60241138465838
ant,not,1.3,naive_bayes,baseline,0.2536503963287442,{},0.2936507936507936,0.3100775193798449,0.5801886792452831,0.1715431090284589,0.1834862385321101,1.0,0.160377358490566,0.839622641509434,0.4062971365509177,0.4004714203168136,0.720572402048548
ant,not,1.3,decision_tree,baseline,0.2536503963287442,{'classification__criterion': 'gini'; 'classification__max_depth': 8; 'classification__max_features': 'sqrt'},0.626984126984127,0.3896103896103896,0.6768867924528301,0.2597355285576652,0.2631578947368421,0.75,0.6037735849056604,0.3962264150943396,0.668718116992106,0.6729265849104531,0.62817495199032
ant,not,1.3,random_forest,baseline,0.2536503963287442,{'classification__criterion': 'log_loss'; 'classification__max_features': None; 'classification__n_estimators': 30},0.3809523809523809,0.2909090909090909,0.5509433962264152,0.0824163383692134,0.1777777777777777,0.8,0.3018867924528302,0.6981132075471698,0.4865011925272865,0.4914360934671609,0.64340259480773
ant,not,1.3,svm,baseline,0.2536503963287442,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.5158730158730159,0.3440860215053763,0.6311320754716981,0.1941366343725795,0.2191780821917808,0.8,0.4622641509433962,0.5377358490566038,0.5943154899674955,0.6081211398682971,0.60355971483392
ant,not,1.4,knn,baseline,0.2536503963287442,{'classification__n_neighbors': 1},0.5786516853932584,0.3902439024390244,0.586231884057971,0.1443000762855913,0.2891566265060241,0.6,0.572463768115942,0.427536231884058,0.5860028807022813,0.5860701842523344,0.578184313379881
ant,not,1.4,naive_bayes,baseline,0.2536503963287442,{},0.398876404494382,0.3668639053254438,0.532427536231884,0.0606066937266714,0.2403100775193798,0.775,0.2898550724637681,0.7101449275362319,0.4732501456547709,0.4739595775584879,0.614188842570209
ant,not,1.4,decision_tree,baseline,0.2536503963287442,{'classification__criterion': 'gini'; 'classification__max_depth': 9; 'classification__max_features': 'log2'},0.5224719101123596,0.3703703703703703,0.5588768115942029,0.0985242117496159,0.2631578947368421,0.625,0.4927536231884058,0.5072463768115942,0.5539484969263696,0.5549513622766897,0.568154130611147
ant,not,1.4,random_forest,baseline,0.2536503963287442,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 50},0.4775280898876404,0.3758389261744966,0.5565217391304348,0.0968450118159226,0.2568807339449541,0.7,0.4130434782608695,0.5869565217391305,0.5338895203859398,0.5377085035431453,0.575280634297108
ant,not,1.4,svm,baseline,0.2536503963287442,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6123595505617978,0.3999999999999999,0.5990942028985506,0.1675322954682413,0.3066666666666666,0.575,0.6231884057971014,0.3768115942028985,0.5983708317827688,0.5986094998689323,0.592473754593555
ant,not,1.5,knn,baseline,0.2536503963287442,{'classification__n_neighbors': 1},0.6552901023890785,0.2937062937062937,0.6557112068965517,0.2002386580063283,0.1891891891891892,0.65625,0.6551724137931034,0.3448275862068966,0.655710785305962,0.6557109855353379,0.67453821236854
ant,not,1.5,naive_bayes,baseline,0.2536503963287442,{},0.5426621160409556,0.2717391304347826,0.6473299808429118,0.1839437434424566,0.1644736842105263,0.78125,0.5134099616858238,0.4865900383141762,0.6227590770564575,0.6333257712797181,0.635710453961829
ant,not,1.5,decision_tree,baseline,0.2536503963287442,{'classification__criterion': 'log_loss'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.6040955631399317,0.2658227848101266,0.6269755747126436,0.1599933447092457,0.1666666666666666,0.65625,0.5977011494252874,0.4022988505747126,0.6258286303886046,0.6262917685155577,0.651257491036881
ant,not,1.5,random_forest,baseline,0.2536503963287442,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 80},0.6689419795221843,0.3310344827586207,0.7045019157088123,0.2620880049269299,0.2123893805309734,0.75,0.6590038314176245,0.3409961685823754,0.7010197439730679,0.7030312038332427,0.68096294741165
ant,not,1.5,svm,baseline,0.2536503963287442,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7781569965870307,0.4144144144144144,0.75209530651341,0.3543802957686819,0.2911392405063291,0.71875,0.7854406130268199,0.21455938697318,0.749862744639761,0.7513557350636427,0.761926499070656
ant,not,1.6,knn,baseline,0.2536503963287442,{'classification__n_neighbors': 1},0.6590909090909091,0.5238095238095237,0.6779264214046823,0.3140077894921739,0.4125,0.717391304347826,0.6384615384615384,0.3615384615384615,0.6755175397422685,0.6767767400353256,0.598929542171355
ant,not,1.6,naive_bayes,baseline,0.2536503963287442,{},0.6647727272727273,0.5785714285714286,0.7344481605351172,0.4130061933680542,0.4308510638297872,0.8804347826086957,0.5884615384615385,0.4115384615384615,0.6969655576215192,0.7197930304531736,0.601707078715391
ant,not,1.6,decision_tree,baseline,0.2536503963287442,{'classification__criterion': 'entropy'; 'classification__max_depth': 8; 'classification__max_features': 'sqrt'},0.6136363636363636,0.5211267605633803,0.6752508361204014,0.3092858678456751,0.3854166666666667,0.8043478260869565,0.5461538461538461,0.4538461538461538,0.6505317578678669,0.6627953370859486,0.576530930543599
ant,not,1.6,random_forest,baseline,0.2536503963287442,{'classification__criterion': 'log_loss'; 'classification__max_features': None; 'classification__n_estimators': 100},0.6420454545454546,0.5298507462686567,0.6839464882943144,0.3232878750699198,0.4034090909090909,0.7717391304347826,0.5961538461538461,0.4038461538461538,0.6719796191156711,0.6782884716963132,0.588351976865963
