Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,None,None,0.25365039632874425,0,0,{'classification__n_neighbors': 9},0.7737226277372263,0.41823056300268097,0.6241809779984827,0.3155700495614351,0.6,0.32098765432098764,0.9273743016759777,0.07262569832402235,0.5171272125903312,0.5455966475085199,0.7512872530910314,0.3646468157417062,664,52,165,78
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,None,None,0.25365039632874425,1,0,{'classification__n_neighbors': 11},0.794577685088634,0.4573002754820937,0.6449439041772995,0.38108161352377157,0.6916666666666667,0.34156378600823045,0.9483240223463687,0.051675977653631286,0.5329835899230767,0.5691336780012052,0.7719400529973994,0.40308874413362117,679,37,160,83
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,None,None,0.25365039632874425,2,0,{'classification__n_neighbors': 9},0.7966631908237748,0.4987146529562982,0.6653706002712831,0.4004296668010585,0.6643835616438356,0.3991769547325103,0.9315642458100558,0.06843575418994413,0.5724068615049779,0.6098024096214656,0.765015867294836,0.4174485255766017,667,49,146,97
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,None,None,0.25365039632874425,3,0,{'classification__n_neighbors': 7},0.7737226277372263,0.42133333333333334,0.625521609538003,0.3183798787406785,0.6030534351145038,0.3237704918032787,0.9272727272727272,0.07272727272727272,0.5190760954400755,0.5479265890106616,0.7508065995346969,0.3673051304197932,663,52,165,79
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,None,None,0.25365039632874425,4,0,{'classification__n_neighbors': 11},0.7985386221294363,0.49076517150395776,0.6612880946214279,0.40214539674381067,0.6838235294117647,0.38271604938271603,0.9398601398601398,0.06013986013986014,0.5614476778836284,0.5997495808248303,0.7698302662073291,0.41828644006895266,672,43,150,93
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,None,None,0.25365039632874425,2,1,{'classification__n_neighbors': 9},0.5793650793650794,0.3764705882352941,0.6688679245283019,0.24695822556947927,0.24615384615384617,0.8,0.5377358490566038,0.46226415094339623,0.6438482449520857,0.6558877032276814,0.6109242135864779,0.2286691086691087,57,49,4,16
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,None,None,0.25365039632874425,0,0,{},0.7653806047966631,0.4389027431421446,0.6321872772834909,0.309980589204384,0.5569620253164557,0.36213991769547327,0.9022346368715084,0.09776536312849161,0.5436977148724853,0.5716075376853015,0.7350097081444594,0.3633248764810152,646,70,155,88
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,None,None,0.25365039632874425,1,0,{},0.7716371220020855,0.41909814323607425,0.6241436191001678,0.31148323186973254,0.5895522388059702,0.32510288065843623,0.9231843575418994,0.07681564245810056,0.5196944906511107,0.5478411211434199,0.7482118045092239,0.3626766014159945,661,55,164,79
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,None,None,0.25365039632874425,2,0,{},0.7601668404588112,0.4444444444444444,0.6341328137572707,0.3048340770965978,0.5380116959064327,0.3786008230452675,0.8896648044692738,0.11033519553072625,0.5537316992588301,0.5803686993683188,0.7266298910211412,0.36114735388128383,637,79,151,92
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,None,None,0.25365039632874425,3,0,{},0.7507820646506778,0.3557951482479784,0.5925885589820016,0.23794234152527624,0.5196850393700787,0.27049180327868855,0.9146853146853147,0.08531468531468532,0.4806442430212583,0.4974081625805566,0.7348111447057329,0.32618055386369754,654,61,178,66
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,None,None,0.25365039632874425,4,0,{},0.7734864300626305,0.4720194647201946,0.6499381277159055,0.3431073727454426,0.5773809523809523,0.3991769547325103,0.9006993006993007,0.0993006993006993,0.569390571047203,0.5996152132683497,0.7382151744606656,0.382878005365054,644,71,146,97
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,None,None,0.25365039632874425,4,1,{},0.29365079365079366,0.31007751937984496,0.5801886792452831,0.1715431090284589,0.1834862385321101,1.0,0.16037735849056603,0.839622641509434,0.4062971365509177,0.40047142031681365,0.7205724020485483,0.1834862385321101,17,89,0,20
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,not,1.3,decision_tree,baseline,None,None,0.25365039632874425,0,0,{'classification__criterion': 'gini'; 'classification__max_depth': 7; 'classification__max_features': 'sqrt'},0.7726798748696558,0.4381443298969072,0.6329976780007818,0.32295164331882226,0.5862068965517241,0.3497942386831276,0.9162011173184358,0.08379888268156424,0.5364324295270796,0.5661111837024888,0.7452185572664213,0.3698067481662302,656,60,158,85
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,not,1.3,decision_tree,baseline,None,None,0.25365039632874425,1,0,{'classification__criterion': 'gini'; 'classification__max_depth': 7; 'classification__max_features': 'log2'},0.7705943691345151,0.42408376963350786,0.6261638733705772,0.31175277729616174,0.5827338129496403,0.3333333333333333,0.9189944134078212,0.08100558659217877,0.525128254418318,0.5534721954497266,0.7456270141240227,0.3631705688629493,658,58,162,81
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,not,1.3,decision_tree,baseline,None,None,0.25365039632874425,2,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 8; 'classification__max_features': 'sqrt'},0.786235662148071,0.4383561643835616,0.635279444559395,0.35316593836070104,0.6557377049180327,0.3292181069958848,0.9413407821229051,0.05865921787709497,0.5238754092550266,0.5566924018958122,0.7642643217005639,0.3858494433129137,674,42,163,80
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,not,1.3,decision_tree,baseline,None,None,0.25365039632874425,3,0,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.7653806047966631,0.42748091603053434,0.626676602086438,0.30460616692923503,0.5637583892617449,0.3442622950819672,0.9090909090909091,0.09090909090909091,0.5318886882048852,0.5594333944284953,0.7379033194825961,0.3609212157702231,650,65,160,84
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,not,1.3,decision_tree,baseline,None,None,0.25365039632874425,4,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 8; 'classification__max_features': 'log2'},0.8058455114822547,0.5772727272727273,0.7123658234769346,0.4572411811088325,0.6446700507614214,0.522633744855967,0.9020979020979021,0.0979020979020979,0.6554253619867896,0.686634404031824,0.7585260703824003,0.4580119178154896,645,70,116,127
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,not,1.3,decision_tree,baseline,None,None,0.25365039632874425,4,1,{'classification__criterion': 'entropy'; 'classification__max_depth': 8; 'classification__max_features': 'log2'},0.6428571428571429,0.26229508196721313,0.5443396226415094,0.0691653418180764,0.1951219512195122,0.4,0.6886792452830188,0.3113207547169811,0.5220247849953146,0.5248539778959549,0.6465891859653556,0.17328687572590012,73,33,12,8
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,not,1.3,random_forest,baseline,None,None,0.25365039632874425,0,0,{'classification__criterion': 'entropy'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 50},0.7685088633993743,0.4393939393939394,0.6329229602041521,0.31577403149091515,0.5686274509803921,0.35802469135802467,0.9078212290502793,0.09217877094972067,0.5413992898393198,0.5701073717634152,0.7391691331969434,0.36625211497593535,650,66,156,87
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,not,1.3,random_forest,baseline,None,None,0.25365039632874425,1,0,{'classification__criterion': 'gini'; 'classification__max_features': 'log2'; 'classification__n_estimators': 70},0.7914494264859229,0.5073891625615764,0.6700347150378188,0.39380108235598055,0.6319018404907976,0.42386831275720166,0.9162011173184358,0.08379888268156424,0.5883266016707467,0.623176236504593,0.7551214762069942,0.4138285684168588,656,60,140,103
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,not,1.3,random_forest,baseline,None,None,0.25365039632874425,2,0,{'classification__criterion': 'log_loss'; 'classification__max_features': 'log2'; 'classification__n_estimators': 100},0.786235662148071,0.5012165450121655,0.6665430949260869,0.38113022569092614,0.6130952380952381,0.42386831275720166,0.909217877094972,0.09078212290502793,0.5875869092254847,0.6207967843770863,0.7490629852782404,0.4058570455907574,651,65,140,103
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,not,1.3,random_forest,baseline,None,None,0.25365039632874425,3,0,{'classification__criterion': 'log_loss'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 60},0.786235662148071,0.4675324675324675,0.6487618938438611,0.3659177022608877,0.6382978723404256,0.36885245901639346,0.9286713286713286,0.07132867132867132,0.5508702871980263,0.5852714782034409,0.7575858340679984,0.3960216814035374,664,51,154,90
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,not,1.3,random_forest,baseline,None,None,0.25365039632874425,4,0,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 30},0.7745302713987474,0.4626865671641791,0.6452041785375118,0.33962004545779817,0.5849056603773585,0.38271604938271603,0.9076923076923077,0.09230769230769231,0.5586610227110838,0.589396652565215,0.7419621099262856,0.3804289840187478,649,66,150,93
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,not,1.3,random_forest,baseline,None,None,0.25365039632874425,1,1,{'classification__criterion': 'gini'; 'classification__max_features': 'log2'; 'classification__n_estimators': 70},0.48412698412698413,0.3010752688172043,0.5716981132075472,0.10614664900946792,0.1917808219178082,0.7,0.44339622641509435,0.5566037735849056,0.5528938824121521,0.5571152111462817,0.603559714833926,0.18186562296151335,47,59,6,14
