Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__n_neighbors': 1},0.7299270072992701,0.7150715071507151,0.7290305010893245,0.45851074308441014,0.7222222222222222,0.7080610021786492,0.75,0.25,0.7282203296336032,0.7287288601626718,0.6060171704054643,0.6511062747167895,375,125,134,325
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__n_neighbors': 1},0.7194994786235662,0.7034178610804851,0.7184945533769063,0.43753469713062015,0.7120535714285714,0.6949891067538126,0.742,0.258,0.7175149163240322,0.7181099617825455,0.5967581851870644,0.640854877027859,371,129,140,319
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__n_neighbors': 1},0.7434827945776851,0.7388535031847133,0.743992332491069,0.48758760228554726,0.7219917012448133,0.7565217391304347,0.7314629258517034,0.2685370741482966,0.7436859117135817,0.7438868225575493,0.6180924735101025,0.6629907386313507,365,134,112,348
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__n_neighbors': 5},0.708029197080292,0.6909492273730684,0.7069508582382156,0.41457232216420253,0.7017937219730942,0.6804347826086956,0.7334669338677354,0.2665330661322645,0.7057536716386952,0.7064534051846301,0.5870411461206284,0.6308095301797565,366,133,147,313
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__n_neighbors': 1},0.732776617954071,0.717439293598234,0.7317860121113686,0.4642047959800417,0.727069351230425,0.7080610021786492,0.7555110220440882,0.24448897795591182,0.7307387525182458,0.7314013203608212,0.6087677708785624,0.654684192525261,377,122,134,325
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,1,{'classification__n_neighbors': 1},0.46825396825396826,0.27956989247311825,0.5419811320754717,0.06215165632791214,0.1780821917808219,0.65,0.4339622641509434,0.5660377358490566,0.5294159382187247,0.531107777855035,0.6048093208687788,0.1713089802130898,46,60,7,13
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{},0.5912408759124088,0.3987730061349693,0.5786122004357298,0.19589270085226618,0.6735751295336787,0.28322440087145967,0.874,0.126,0.4853917706127905,0.49753203551294634,0.5962746189106403,0.533838605934749,437,63,329,130
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{},0.5881126173096975,0.4182621502209131,0.5766840958605663,0.18221875810112032,0.6454545454545455,0.3093681917211329,0.844,0.156,0.4993462800465086,0.5109860602918989,0.5816954992529814,0.5302357645852709,422,78,317,142
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{},0.6152241918665277,0.462882096069869,0.6046898144114315,0.24609066797747614,0.7004405286343612,0.3456521739130435,0.8637274549098196,0.13627254509018036,0.5273789657399488,0.5463966255916661,0.588076158052935,0.5559774045579544,431,68,301,159
ant_not_0.5_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{},0.5995828988529719,0.40186915887850466,0.5871111788794982,0.22196621273950298,0.7087912087912088,0.28043478260869564,0.8937875751503006,0.1062124248496994,0.48567754216258063,0.5006487035193717,0.6047878174555359,0.543920907718115,446,53,331,129
