Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,over_sample,smote,None,0.5,0,0,{'classification__n_neighbors': 15},0.7393117831074035,0.46808510638297873,0.6446335379451457,0.29599895941195004,0.4845814977973568,0.45267489711934156,0.8365921787709497,0.1634078212290503,0.5961021884918485,0.6153895339181399,0.6937046511482309,0.35804401104821626,599,117,133,110
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,over_sample,smote,None,0.5,1,0,{'classification__n_neighbors': 13},0.7695516162669447,0.4988662131519274,0.6648849345931903,0.35436081871941283,0.5555555555555556,0.45267489711934156,0.8770949720670391,0.12290502793296089,0.6033449772569839,0.630110209601732,0.7260092512831421,0.3901721853420511,628,88,133,110
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,over_sample,smote,None,0.5,2,0,{'classification__n_neighbors': 15},0.786235662148071,0.5610278372591007,0.7046031910246683,0.4206630512816607,0.5848214285714286,0.5390946502057613,0.8701117318435754,0.12988826815642457,0.6613964680680186,0.6848887352834337,0.7336384466545427,0.4320624246364312,623,93,112,131
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,over_sample,smote,None,0.5,3,0,{'classification__n_neighbors': 1},0.7455683003128258,0.46017699115044247,0.6403874813710879,0.2967253674855432,0.5,0.4262295081967213,0.8545454545454545,0.14545454545454545,0.5814491655380647,0.6035167676400157,0.7036655869125518,0.3591001555582147,611,104,140,104
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,over_sample,smote,None,0.5,4,0,{'classification__n_neighbors': 13},0.7807933194154488,0.5454545454545454,0.6942242942242942,0.40248104203698215,0.5753424657534246,0.5185185185185185,0.8699300699300699,0.13006993006993006,0.6473368436326253,0.6716210621137868,0.7298939915760059,0.42045515930893573,622,93,117,126
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,over_sample,smote,None,0.5,2,1,{'classification__n_neighbors': 15},0.5396825396825397,0.3829787234042553,0.6858490566037736,0.2758930468257303,0.24324324324324326,0.9,0.4716981132075472,0.5283018867924528,0.6198007866996135,0.6515583641446041,0.6063461386116185,0.2347919347919348,50,56,2,18
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,over_sample,smote,None,0.5,0,0,{},0.7664233576642335,0.4482758620689655,0.6369634687449709,0.3172079432309024,0.558282208588957,0.37448559670781895,0.8994413407821229,0.1005586592178771,0.5520154507855932,0.5803686993683188,0.7341887197020528,0.3675670818854933,644,72,152,91
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,over_sample,smote,None,0.5,1,0,{},0.7726798748696558,0.43523316062176165,0.6316383888544037,0.3214838078652706,0.5874125874125874,0.345679012345679,0.9175977653631285,0.0824022346368715,0.5336706726153307,0.5632000437334219,0.7459036224710003,0.3688539089998944,657,59,159,84
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,over_sample,smote,None,0.5,2,0,{},0.7570385818561001,0.4568764568764569,0.640193576568499,0.3084406005161476,0.5268817204301075,0.40329218106995884,0.8770949720670391,0.12290502793296089,0.569206623157082,0.5947483033102414,0.7194280889969656,0.36368644399585637,628,88,145,98
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,over_sample,smote,None,0.5,3,0,{},0.7518248175182481,0.3602150537634409,0.5946377393098705,0.24240233022599594,0.5234375,0.27459016393442626,0.9146853146853147,0.08531468531468532,0.4835224952667221,0.5011622397067169,0.7351935037168459,0.32829804649438454,654,61,177,67
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,over_sample,smote,None,0.5,4,0,{},0.767223382045929,0.48259860788863107,0.6552505108060663,0.34016913362584145,0.5531914893617021,0.4279835390946502,0.8825174825174825,0.11748251748251748,0.5870805323911747,0.6145754270069161,0.726902772654851,0.38185079713431236,631,84,139,104
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,over_sample,smote,None,0.5,4,1,{},0.29365079365079366,0.31007751937984496,0.5801886792452831,0.1715431090284589,0.1834862385321101,1.0,0.16037735849056603,0.839622641509434,0.4062971365509177,0.40047142031681365,0.7205724020485483,0.1834862385321101,17,89,0,20
ant_not_over_sample_smote_ant_1.3_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,not,1.3,decision_tree,over_sample,smote,None,0.5,0,0,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.7518248175182481,0.5041666666666667,0.6679656068234591,0.33874058649143773,0.510548523206751,0.49794238683127573,0.8379888268156425,0.16201117318435754,0.626965506167829,0.6459645164887322,0.7008595343020917,0.3814396000823397,600,116,122,121
