Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,None,None,0.15873015873015872,0,0,{'classification__n_neighbors': 1},0.8846153846153846,0.4,0.625,0.4690415759823429,1.0,0.25,1.0,0.0,0.4696699141100894,0.5,0.8775685627222987,0.3653846153846154,22,0,3,1
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,None,None,0.15873015873015872,1,0,{'classification__n_neighbors': 5},0.76,0.25,0.5535714285714287,0.10714285714285714,0.25,0.25,0.8571428571428571,0.14285714285714285,0.4601351265060367,0.46291004988627577,0.7361111111111112,0.1825,18,3,3,1
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,None,None,0.15873015873015872,2,0,{'classification__n_neighbors': 1},0.8,0.4444444444444444,0.6785714285714286,0.3273268353539886,0.4,0.5,0.8571428571428571,0.14285714285714285,0.6322989235361786,0.6546536707079771,0.7601778544330072,0.28,18,3,2,2
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,None,None,0.15873015873015872,3,0,{'classification__n_neighbors': 3},0.84,0.3333333333333333,0.6011904761904762,0.27348301713730944,0.5,0.25,0.9523809523809523,0.047619047619047616,0.46860204474605616,0.48795003647426655,0.8239741273221839,0.245,20,1,3,1
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,None,None,0.15873015873015872,4,0,{'classification__n_neighbors': 1},0.92,0.75,0.8511904761904762,0.7023809523809523,0.75,0.75,0.9523809523809523,0.047619047619047616,0.8200450421686789,0.8451542547285166,0.8935185185185184,0.6025,20,1,1,3
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,None,None,0.15873015873015872,4,1,{'classification__n_neighbors': 1},0.6966292134831461,0.20588235294117646,0.5114130434782609,0.026168351279659406,0.25,0.175,0.8478260869565217,0.15217391304347827,0.406796030099695,0.385187701280027,0.6939215428024775,0.22914325842696626,117,21,33,7
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,None,None,0.15873015873015872,0,0,{},0.7692307692307693,0.0,0.45454545454545453,-0.12309149097933272,0.0,0.0,0.9090909090909091,0.09090909090909091,0.28997730219030415,0.0,0.7688686772057769,0.15384615384615385,20,2,4,0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,None,None,0.15873015873015872,1,0,{},0.68,0.3333333333333333,0.6071428571428571,0.16840826742715195,0.25,0.5,0.7142857142857143,0.2857142857142857,0.5927944910360222,0.5976143046671969,0.6482029916143939,0.20500000000000002,15,6,2,2
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,None,None,0.15873015873015872,2,0,{},0.76,0.4,0.6547619047619049,0.26569371377681855,0.3333333333333333,0.5,0.8095238095238095,0.19047619047619047,0.6216607480459357,0.6362090102803518,0.7184212081070995,0.24666666666666665,17,4,2,2
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,None,None,0.15873015873015872,3,0,{},0.76,0.25,0.5535714285714287,0.10714285714285714,0.25,0.25,0.8571428571428571,0.14285714285714285,0.4601351265060367,0.46291004988627577,0.7361111111111112,0.1825,18,3,3,1
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,None,None,0.15873015873015872,4,0,{},0.92,0.75,0.8511904761904762,0.7023809523809523,0.75,0.75,0.9523809523809523,0.047619047619047616,0.8200450421686789,0.8451542547285166,0.8935185185185184,0.6025,20,1,1,3
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,None,None,0.15873015873015872,4,1,{},0.7247191011235955,0.26865671641791045,0.5472826086956523,0.11003493935071418,0.3333333333333333,0.225,0.8695652173913043,0.13043478260869565,0.4442850404595097,0.44232586846469135,0.7130366797568992,0.2491573033707865,120,18,31,9
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,baseline,None,None,0.15873015873015872,0,0,{'classification__criterion': 'gini'; 'classification__max_depth': 9; 'classification__max_features': 'sqrt'},0.8076923076923077,0.0,0.4772727272727273,-0.08528028654224416,0.0,0.0,0.9545454545454546,0.045454545454545456,0.29216311352738933,0.0,0.8100632886667372,0.15384615384615385,21,1,4,0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,baseline,None,None,0.15873015873015872,1,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 6; 'classification__max_features': 'sqrt'},0.88,0.7272727272727273,0.9285714285714286,0.6998542122237652,0.5714285714285714,1.0,0.8571428571428571,0.14285714285714285,0.8989847455447789,0.9258200997725514,0.8356290217967333,0.5714285714285714,18,3,0,4
