Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__n_neighbors': 1},0.7692307692307693,0.75,0.7692307692307693,0.5449492609130661,0.8181818181818182,0.6923076923076923,0.8461538461538461,0.15384615384615385,0.75674787229474,0.7653749516204769,0.6203028623387458,0.7202797202797203,11,2,4,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__n_neighbors': 5},0.76,0.7692307692307693,0.7628205128205129,0.5290432684448219,0.7142857142857143,0.8333333333333334,0.6923076923076923,0.3076923076923077,0.7525607812100156,0.7595545253127499,0.6069109849750699,0.6752380952380952,9,4,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__n_neighbors': 7},0.72,0.7407407407407407,0.7243589743589745,0.4576043153224294,0.6666666666666666,0.8333333333333334,0.6153846153846154,0.38461538461538464,0.7035992814949514,0.716114874039433,0.5715476066494083,0.6355555555555555,8,5,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__n_neighbors': 1},0.68,0.7333333333333333,0.6891025641025641,0.420827817635731,0.6111111111111112,0.9166666666666666,0.46153846153846156,0.5384615384615384,0.6147174589688683,0.6504436355879909,0.5748910163806683,0.6001851851851853,6,7,1,11
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__n_neighbors': 5},0.72,0.6956521739130435,0.7179487179487178,0.4387188079786328,0.7272727272727273,0.6666666666666666,0.7692307692307693,0.23076923076923078,0.7133246182692577,0.7161148740394329,0.5655306905449514,0.6448484848484849,10,3,4,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,1,{'classification__n_neighbors': 1},0.5617977528089888,0.4090909090909091,0.6019927536231884,0.170382784846415,0.29347826086956524,0.675,0.5289855072463768,0.47101449275362317,0.5953522195884717,0.5975493430598885,0.5734853812246471,0.2711315339521251,73,65,13,27
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{},0.6538461538461539,0.5714285714285714,0.6538461538461539,0.3333333333333333,0.75,0.46153846153846156,0.8461538461538461,0.15384615384615385,0.6040142253466538,0.6249260311258431,0.5475026691143611,0.6153846153846154,11,2,7,6
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{},0.6,0.6428571428571429,0.6057692307692308,0.22017621148199482,0.5625,0.75,0.46153846153846156,0.5384615384615384,0.5802138470587871,0.5883484054145521,0.5004004806408974,0.541875,6,7,3,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{},0.52,0.5714285714285714,0.5256410256410255,0.05337605126836238,0.5,0.6666666666666666,0.38461538461538464,0.6153846153846154,0.5051215624200311,0.5063696835418333,0.4803844614152614,0.4933333333333333,5,8,4,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{},0.6,0.5454545454545454,0.596153846153846,0.19611613513818404,0.6,0.5,0.6923076923076923,0.3076923076923077,0.5848647472130211,0.5883484054145521,0.48989794855663565,0.54,9,4,6,6
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{},0.68,0.6666666666666666,0.6794871794871794,0.358974358974359,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.3076923076923077,0.6792308717129025,0.6793662204867574,0.5277777777777778,0.6044444444444445,9,4,4,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,1,{},0.5786516853932584,0.358974358974359,0.5596014492753623,0.10042695741069119,0.2727272727272727,0.525,0.5942028985507246,0.4057971014492754,0.5582442487388345,0.5585306811081469,0.5802337104913426,0.24992339121552604,82,56,19,21
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.38461538461538464,0.2,0.3846153846153846,-0.260132990857236,0.2857142857142857,0.15384615384615385,0.6153846153846154,0.38461538461538464,0.34276894266788227,0.30769230769230776,0.5431439421372034,0.46703296703296704,8,5,11,2
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.56,0.5925925925925926,0.5641025641025641,0.13074409009212268,0.5333333333333333,0.6666666666666666,0.46153846153846156,0.5384615384615384,0.5521987385494108,0.5547001962252291,0.47628967220784013,0.5155555555555555,6,7,4,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 7; 'classification__max_features': 'log2'},0.6,0.6428571428571429,0.6057692307692308,0.22017621148199482,0.5625,0.75,0.46153846153846156,0.5384615384615384,0.5802138470587871,0.5883484054145521,0.5004004806408974,0.541875,6,7,3,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 9; 'classification__max_features': 'sqrt'},0.64,0.6896551724137931,0.6474358974358975,0.3158101459191266,0.5882352941176471,0.8333333333333334,0.46153846153846156,0.5384615384615384,0.6014284216228254,0.6201736729460423,0.5335936864527374,0.5701960784313725,6,7,2,10
