Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
ant,1.3,1.4,knn,baseline,0.1587301587301587,{'classification__n_neighbors': 1},0.6966292134831461,0.2058823529411764,0.5114130434782609,0.0261683512796594,0.25,0.175,0.8478260869565217,0.1521739130434782,0.406796030099695,0.385187701280027,0.6939215428024775
ant,1.3,1.4,naive_bayes,baseline,0.1587301587301587,{},0.7247191011235955,0.2686567164179104,0.5472826086956523,0.1100349393507141,0.3333333333333333,0.225,0.8695652173913043,0.1304347826086956,0.4442850404595097,0.4423258684646913,0.7130366797568992
ant,1.3,1.4,decision_tree,baseline,0.1587301587301587,{'classification__criterion': 'entropy'; 'classification__max_depth': 10; 'classification__max_features': 'auto'},0.7134831460674157,0.0727272727272727,0.4778985507246377,-0.0664172448052166,0.1333333333333333,0.05,0.9057971014492754,0.0942028985507246,0.324954006716817,0.2128141326896871,0.7311272377559771
ant,1.3,1.4,random_forest,baseline,0.1587301587301587,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 10},0.7528089887640449,0.12,0.5121376811594203,0.0440028310150164,0.3,0.075,0.9492753623188406,0.0507246376811594,0.3449435181345486,0.2668251340745715,0.7670593391336594
ant,1.3,1.4,svm,baseline,0.1587301587301587,{'classification__coef0': 1; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7640449438202247,0.0454545454545454,0.5016304347826086,0.0091832909995931,0.25,0.025,0.9782608695652174,0.0217391304347826,0.3103995396637048,0.156385810542806,0.7886196900856393
ant,1.3,1.5,knn,baseline,0.1587301587301587,{'classification__n_neighbors': 1},0.8361774744027304,0.2727272727272727,0.5927322796934865,0.1806204144072897,0.2647058823529412,0.28125,0.9042145593869731,0.0957854406130268,0.4872737508506943,0.5042919242141264,0.8280833901587759
ant,1.3,1.5,naive_bayes,baseline,0.1587301587301587,{},0.8737201365187713,0.3728813559322033,0.6412236590038314,0.3045860421693487,0.4074074074074074,0.34375,0.9386973180076628,0.0613026819923371,0.5339409472398087,0.5680468317534516,0.8648489660805688
ant,1.3,1.5,decision_tree,baseline,0.1587301587301587,{'classification__criterion': 'log_loss'; 'classification__max_depth': 5; 'classification__max_features': 'auto'},0.8805460750853242,0.054054054054054,0.5079621647509579,0.038350863960234,0.2,0.03125,0.9846743295019156,0.0153256704980842,0.3149045910691651,0.1754168543696268,0.8845026709074311
ant,1.3,1.5,random_forest,baseline,0.1587301587301587,{'classification__criterion': 'entropy'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 40},0.8907849829351536,0.238095238095238,0.5685464559386973,0.2355141613078565,0.5,0.15625,0.9808429118773946,0.0191570881226053,0.4032248930604858,0.3914801463431356,0.8901595956664461
ant,1.3,1.5,svm,baseline,0.1587301587301587,{'classification__coef0': 1; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.8873720136518771,0.0,0.4980842911877394,-0.0204910073815114,0.0,0.0,0.9961685823754788,0.003831417624521,0.2928880287532202,0.0,0.8933629391556286
ant,1.3,1.6,knn,baseline,0.1587301587301587,{'classification__n_neighbors': 1},0.75,0.3888888888888889,0.6060200668896322,0.2625647122345207,0.5384615384615384,0.3043478260869565,0.9076923076923076,0.0923076923076923,0.5037880205350163,0.5255988780448515,0.7271065675928277
ant,1.3,1.6,naive_bayes,baseline,0.1587301587301587,{},0.7698863636363636,0.3816793893129771,0.6089464882943144,0.3050137003746407,0.6410256410256411,0.2717391304347826,0.946153846153846,0.0538461538461538,0.4836361251869423,0.507057219070364,0.755729609360399
