Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp,fnr
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,,,0.1587301587301587,0,0,{'classification__n_neighbors': 1},0.8846153846153846,0.4,0.625,0.4690415759823429,1.0,0.25,1.0,0.0,0.4696699141100894,0.5,0.8775685627222987,0.3653846153846154,22,0,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,,,0.1587301587301587,1,0,{'classification__n_neighbors': 5},0.76,0.25,0.5535714285714287,0.1071428571428571,0.25,0.25,0.8571428571428571,0.1428571428571428,0.4601351265060367,0.4629100498862757,0.7361111111111112,0.1825,18,3,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,,,0.1587301587301587,2,0,{'classification__n_neighbors': 1},0.8,0.4444444444444444,0.6785714285714286,0.3273268353539886,0.4,0.5,0.8571428571428571,0.1428571428571428,0.6322989235361786,0.6546536707079771,0.7601778544330072,0.28,18,3,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,,,0.1587301587301587,3,0,{'classification__n_neighbors': 3},0.84,0.3333333333333333,0.6011904761904762,0.2734830171373094,0.5,0.25,0.9523809523809524,0.0476190476190476,0.4686020447460561,0.4879500364742665,0.8239741273221839,0.245,20,1,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,,,0.1587301587301587,4,0,{'classification__n_neighbors': 1},0.92,0.75,0.8511904761904762,0.7023809523809523,0.75,0.75,0.9523809523809524,0.0476190476190476,0.8200450421686789,0.8451542547285166,0.8935185185185184,0.6025,20,1,1,3,0.25
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,baseline,,,0.1587301587301587,4,1,{'classification__n_neighbors': 1},0.6966292134831461,0.2058823529411764,0.5114130434782609,0.0261683512796594,0.25,0.175,0.8478260869565217,0.1521739130434782,0.406796030099695,0.385187701280027,0.6939215428024775,0.2291432584269662,117,21,33,7,0.825
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,,,0.1587301587301587,0,0,{},0.7692307692307693,0.0,0.4545454545454545,-0.1230914909793327,0.0,0.0,0.9090909090909092,0.0909090909090909,0.2899773021903041,0.0,0.7688686772057769,0.1538461538461538,20,2,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,,,0.1587301587301587,1,0,{},0.68,0.3333333333333333,0.6071428571428571,0.1684082674271519,0.25,0.5,0.7142857142857143,0.2857142857142857,0.5927944910360222,0.5976143046671969,0.6482029916143939,0.205,15,6,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,,,0.1587301587301587,2,0,{},0.76,0.4,0.6547619047619049,0.2656937137768185,0.3333333333333333,0.5,0.8095238095238095,0.1904761904761904,0.6216607480459357,0.6362090102803518,0.7184212081070995,0.2466666666666666,17,4,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,,,0.1587301587301587,3,0,{},0.76,0.25,0.5535714285714287,0.1071428571428571,0.25,0.25,0.8571428571428571,0.1428571428571428,0.4601351265060367,0.4629100498862757,0.7361111111111112,0.1825,18,3,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,,,0.1587301587301587,4,0,{},0.92,0.75,0.8511904761904762,0.7023809523809523,0.75,0.75,0.9523809523809524,0.0476190476190476,0.8200450421686789,0.8451542547285166,0.8935185185185184,0.6025,20,1,1,3,0.25
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,baseline,,,0.1587301587301587,4,1,{},0.7247191011235955,0.2686567164179104,0.5472826086956523,0.1100349393507141,0.3333333333333333,0.225,0.8695652173913043,0.1304347826086956,0.4442850404595097,0.4423258684646913,0.7130366797568992,0.2491573033707865,120,18,31,9,0.775
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,baseline,,,0.1587301587301587,0,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 8; 'classification__max_features': 'sqrt'},0.8461538461538461,0.3333333333333333,0.6022727272727274,0.2769558547034986,0.5,0.25,0.9545454545454546,0.0454545454545454,0.468696830565411,0.4885042104591972,0.8313148641869568,0.2403846153846154,21,1,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,baseline,,,0.1587301587301587,1,0,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.68,0.2,0.5059523809523809,0.010218988991416,0.1666666666666666,0.25,0.7619047619047619,0.238095238095238,0.443587678783248,0.4364357804719847,0.663541810265585,0.1616666666666666,16,5,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,baseline,,,0.1587301587301587,2,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 6; 'classification__max_features': 'log2'},0.84,0.6,0.8035714285714286,0.521168438562221,0.5,0.75,0.8571428571428571,0.1428571428571428,0.796397245518011,0.8017837257372731,0.7932567506182558,0.415,18,3,1,3,0.25
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,baseline,,,0.1587301587301587,3,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 9; 'classification__max_features': 'log2'},0.68,0.2,0.5059523809523809,0.010218988991416,0.1666666666666666,0.25,0.7619047619047619,0.238095238095238,0.443587678783248,0.4364357804719847,0.663541810265585,0.1616666666666666,16,5,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,baseline,,,0.1587301587301587,4,0,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.76,0.5,0.7559523809523809,0.4023086388537518,0.375,0.75,0.7619047619047619,0.238095238095238,0.7558798017332158,0.7559289460184545,0.7066475236451999,0.32125,16,5,1,3,0.25
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,baseline,,,0.1587301587301587,2,1,{'classification__criterion': 'log_loss'; 'classification__max_depth': 6; 'classification__max_features': 'log2'},0.6797752808988764,0.2191780821917808,0.5094202898550724,0.0202359142018634,0.2424242424242424,0.2,0.8188405797101449,0.181159420289855,0.4199919243839115,0.4046827349196269,0.6750909683182434,0.2282601293837249,113,25,32,8,0.8
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,baseline,,,0.1587301587301587,0,0,{'classification__criterion': 'gini'; 'classification__max_features': 'log2'; 'classification__n_estimators': 10},0.7692307692307693,0.0,0.4545454545454545,-0.1230914909793327,0.0,0.0,0.9090909090909092,0.0909090909090909,0.2899773021903041,0.0,0.7688686772057769,0.1538461538461538,20,2,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,baseline,,,0.1587301587301587,1,0,{'classification__criterion': 'log_loss'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 50},0.88,0.4,0.625,0.4677071733467426,1.0,0.25,1.0,0.0,0.4696699141100894,0.5,0.8723649072498081,0.37,21,0,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,baseline,,,0.1587301587301587,2,0,{'classification__criterion': 'log_loss'; 'classification__max_features': None; 'classification__n_estimators': 10},0.8,0.0,0.4761904761904761,-0.0890870806374748,0.0,0.0,0.9523809523809524,0.0476190476190476,0.2920919644134045,0.0,0.8027395390655512,0.16,20,1,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,baseline,,,0.1587301587301587,3,0,{'classification__criterion': 'gini'; 'classification__max_features': 'log2'; 'classification__n_estimators': 40},0.8,0.0,0.4761904761904761,-0.0890870806374748,0.0,0.0,0.9523809523809524,0.0476190476190476,0.2920919644134045,0.0,0.8027395390655512,0.16,20,1,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,baseline,,,0.1587301587301587,4,0,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 20},0.8,0.0,0.4761904761904761,-0.0890870806374748,0.0,0.0,0.9523809523809524,0.0476190476190476,0.2920919644134045,0.0,0.8027395390655512,0.16,20,1,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,baseline,,,0.1587301587301587,1,1,{'classification__criterion': 'log_loss'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 50},0.7471910112359551,0.1509433962264151,0.5173913043478262,0.0557979240724924,0.3076923076923077,0.1,0.9347826086956522,0.0652173913043478,0.3619352273755648,0.3057421476825941,0.7565811978331666,0.2330164217804667,129,9,36,4,0.9
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,baseline,,,0.1587301587301587,0,0,{'classification__coef0': 0; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.8461538461538461,0.3333333333333333,0.6022727272727274,0.2769558547034986,0.5,0.25,0.9545454545454546,0.0454545454545454,0.468696830565411,0.4885042104591972,0.8313148641869568,0.2403846153846154,21,1,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,baseline,,,0.1587301587301587,1,0,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.88,0.5714285714285714,0.726190476190476,0.5103545438827408,0.6666666666666666,0.5,0.9523809523809524,0.0476190476190476,0.6448468121386597,0.6900655593423543,0.854016820293798,0.4133333333333333,20,1,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,baseline,,,0.1587301587301587,2,0,{'classification__coef0': 1; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.8,0.2857142857142857,0.5773809523809523,0.1745949755388323,0.3333333333333333,0.25,0.9047619047619048,0.0952380952380952,0.4654112352543403,0.4755948656056709,0.778400747663618,0.2033333333333333,19,2,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,baseline,,,0.1587301587301587,3,0,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.8,0.2857142857142857,0.5773809523809523,0.1745949755388323,0.3333333333333333,0.25,0.9047619047619048,0.0952380952380952,0.4654112352543403,0.4755948656056709,0.778400747663618,0.2033333333333333,19,2,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,baseline,,,0.1587301587301587,4,0,{'classification__coef0': 1; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.92,0.6666666666666666,0.75,0.6756639246921762,1.0,0.5,1.0,0.0,0.6464466094067263,0.7071067811865476,0.905090751255456,0.58,21,0,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,baseline,,,0.1587301587301587,4,1,{'classification__coef0': 1; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7640449438202247,0.0454545454545454,0.5016304347826086,0.0091832909995931,0.25,0.025,0.9782608695652174,0.0217391304347826,0.3103995396637048,0.156385810542806,0.7886196900856393,0.2253511235955056,135,3,39,1,0.975
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,baseline,,,0.1587301587301587,0,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.8461538461538461,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.2928932188134525,0.0,0.8539500976232565,0.1538461538461538,22,0,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,baseline,,,0.1587301587301587,1,0,{'classification__learning_rate': 0.1; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.92,0.6666666666666666,0.75,0.6756639246921762,1.0,0.5,1.0,0.0,0.6464466094067263,0.7071067811865476,0.905090751255456,0.58,21,0,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,baseline,,,0.1587301587301587,2,0,{'classification__learning_rate': 0.2; 'classification__max_depth': 3; 'classification__n_estimators': 200; 'classification__subsample': 0.8},0.88,0.5714285714285714,0.726190476190476,0.5103545438827408,0.6666666666666666,0.5,0.9523809523809524,0.0476190476190476,0.6448468121386597,0.6900655593423543,0.854016820293798,0.4133333333333333,20,1,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,baseline,,,0.1587301587301587,3,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.84,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.2928932188134525,0.0,0.848528137423857,0.16,21,0,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,baseline,,,0.1587301587301587,4,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 3; 'classification__n_estimators': 200; 'classification__subsample': 1.0},0.92,0.6666666666666666,0.75,0.6756639246921762,1.0,0.5,1.0,0.0,0.6464466094067263,0.7071067811865476,0.905090751255456,0.58,21,0,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,baseline,,,0.1587301587301587,1,1,{'classification__learning_rate': 0.1; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.7359550561797753,0.1132075471698113,0.5012681159420289,0.0040685986302859,0.2307692307692307,0.075,0.927536231884058,0.072463768115942,0.3439222615842079,0.2637521893583148,0.7492933413128202,0.2251728608470181,128,10,37,3,0.925
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,baseline,,,0.1587301587301587,0,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.8076923076923077,0.2857142857142857,0.5795454545454545,0.1796644508187708,0.3333333333333333,0.25,0.0,0.0909090909090909,0.4657882148389474,0.4767312946227961,0.7876033854847275,0.1987179487179487,20,2,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,baseline,,,0.1587301587301587,1,0,{'classification__lr': 0.001; 'classification__max_epochs': 20; 'classification__module__dropout': 0.1},0.84,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2928932188134525,0.0,0.848528137423857,0.16,21,0,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,baseline,,,0.1587301587301587,2,0,{'classification__lr': 0.01; 'classification__max_epochs': 20; 'classification__module__dropout': 0.3},0.8,0.0,0.4761904761904761,-0.0890870806374748,0.0,0.0,0.0,0.0476190476190476,0.2920919644134045,0.0,0.8027395390655512,0.16,20,1,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,baseline,,,0.1587301587301587,3,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.76,0.4,0.6547619047619049,0.2656937137768185,0.3333333333333333,0.5,0.0,0.1904761904761904,0.6216607480459357,0.6362090102803518,0.7184212081070995,0.2466666666666666,17,4,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,baseline,,,0.1587301587301587,4,0,{'classification__lr': 0.01; 'classification__max_epochs': 20; 'classification__module__dropout': 0.1},0.88,0.4,0.625,0.4677071733467426,1.0,0.25,0.0,0.0,0.4696699141100894,0.5,0.8723649072498081,0.37,21,0,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,baseline,,,0.1587301587301587,3,1,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.7078651685393258,0.1333333333333333,0.4920289855072464,-0.0210702453135004,0.2,0.1,0.8840579710144928,0.1159420289855072,0.3583448924518422,0.2973311236676196,0.7168003806006676,0.2222471910112359,122,16,36,4,0.9
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.5,knn,baseline,,,0.1587301587301587,0,0,{'classification__n_neighbors': 1},0.8846153846153846,0.4,0.625,0.4690415759823429,1.0,0.25,1.0,0.0,0.4696699141100894,0.5,0.8775685627222987,0.3653846153846154,22,0,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.5,knn,baseline,,,0.1587301587301587,1,0,{'classification__n_neighbors': 5},0.76,0.25,0.5535714285714287,0.1071428571428571,0.25,0.25,0.8571428571428571,0.1428571428571428,0.4601351265060367,0.4629100498862757,0.7361111111111112,0.1825,18,3,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.5,knn,baseline,,,0.1587301587301587,2,0,{'classification__n_neighbors': 1},0.8,0.4444444444444444,0.6785714285714286,0.3273268353539886,0.4,0.5,0.8571428571428571,0.1428571428571428,0.6322989235361786,0.6546536707079771,0.7601778544330072,0.28,18,3,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.5,knn,baseline,,,0.1587301587301587,3,0,{'classification__n_neighbors': 3},0.84,0.3333333333333333,0.6011904761904762,0.2734830171373094,0.5,0.25,0.9523809523809524,0.0476190476190476,0.4686020447460561,0.4879500364742665,0.8239741273221839,0.245,20,1,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.5,knn,baseline,,,0.1587301587301587,4,0,{'classification__n_neighbors': 1},0.92,0.75,0.8511904761904762,0.7023809523809523,0.75,0.75,0.9523809523809524,0.0476190476190476,0.8200450421686789,0.8451542547285166,0.8935185185185184,0.6025,20,1,1,3,0.25
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.5,knn,baseline,,,0.1587301587301587,4,1,{'classification__n_neighbors': 1},0.8361774744027304,0.2727272727272727,0.5927322796934865,0.1806204144072897,0.2647058823529412,0.28125,0.9042145593869731,0.0957854406130268,0.4872737508506943,0.5042919242141264,0.8280833901587759,0.152946822927123,236,25,23,9,0.71875
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.5,naive_bayes,baseline,,,0.1587301587301587,0,0,{},0.7692307692307693,0.0,0.4545454545454545,-0.1230914909793327,0.0,0.0,0.9090909090909092,0.0909090909090909,0.2899773021903041,0.0,0.7688686772057769,0.1538461538461538,20,2,4,0,1.0
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.5,naive_bayes,baseline,,,0.1587301587301587,1,0,{},0.68,0.3333333333333333,0.6071428571428571,0.1684082674271519,0.25,0.5,0.7142857142857143,0.2857142857142857,0.5927944910360222,0.5976143046671969,0.6482029916143939,0.205,15,6,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.5,naive_bayes,baseline,,,0.1587301587301587,2,0,{},0.76,0.4,0.6547619047619049,0.2656937137768185,0.3333333333333333,0.5,0.8095238095238095,0.1904761904761904,0.6216607480459357,0.6362090102803518,0.7184212081070995,0.2466666666666666,17,4,2,2,0.5
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.5,naive_bayes,baseline,,,0.1587301587301587,3,0,{},0.76,0.25,0.5535714285714287,0.1071428571428571,0.25,0.25,0.8571428571428571,0.1428571428571428,0.4601351265060367,0.4629100498862757,0.7361111111111112,0.1825,18,3,3,1,0.75
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.5,naive_bayes,baseline,,,0.1587301587301587,4,0,{},0.92,0.75,0.8511904761904762,0.7023809523809523,0.75,0.75,0.9523809523809524,0.0476190476190476,0.8200450421686789,0.8451542547285166,0.8935185185185184,0.6025,20,1,1,3,0.25
ant_1.3_org_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.5,naive_bayes,baseline,,,0.1587301587301587,4,1,{},0.8737201365187713,0.3728813559322034,0.6412236590038314,0.3045860421693487,0.4074074074074074,0.34375,0.9386973180076628,0.0613026819923371,0.5339409472398087,0.5680468317534516,0.8648489660805688,0.2117186512451017,245,16,21,11,0.65625
