Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp,fnr
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,0,0,{'classification__n_neighbors': 5},0.8076923076923077,0.5454545454545454,0.6875,0.5417363388859614,1.0,0.375,1.0,0.0,0.5580582617584078,0.6123724356957946,0.7711676767314352,0.5673076923076923,18,0,5,3,0.625
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,0,{'classification__n_neighbors': 5},0.84,0.7142857142857143,0.8015873015873016,0.6031746031746031,0.7142857142857143,0.7142857142857143,0.8888888888888888,0.1111111111111111,0.7832301542262277,0.7968190728895957,0.7586206896551724,0.590204081632653,16,2,2,5,0.2857142857142857
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,0,{'classification__n_neighbors': 7},0.76,0.625,0.746031746031746,0.4602832499602864,0.5555555555555556,0.7142857142857143,0.7777777777777778,0.2222222222222222,0.7440553095778238,0.7453559924999299,0.6555213366563069,0.4768253968253969,14,4,2,5,0.2857142857142857
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,3,0,{'classification__n_neighbors': 3},0.72,0.4615384615384615,0.6286764705882353,0.3001225239993905,0.6,0.375,0.8823529411764706,0.1176470588235294,0.5502968587780229,0.5752237416355278,0.6570675801453368,0.425,15,2,5,3,0.625
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,4,0,{'classification__n_neighbors': 9},0.8,0.6153846153846154,0.7205882352941175,0.5144957554275266,0.8,0.5,0.9411764705882352,0.0588235294117647,0.6440082812673469,0.6859943405700354,0.7288480720939872,0.56,16,1,4,4,0.5
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.4,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,1,{'classification__n_neighbors': 5},0.6797752808988764,0.3132530120481928,0.553804347826087,0.1049338951235674,0.3023255813953488,0.325,0.782608695652174,0.217391304347826,0.4985600837557659,0.5043290851090749,0.6583085503455617,0.2499412072119153,108,30,27,13,0.675
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,0,0,{},0.7692307692307693,0.5,0.6597222222222222,0.4086347063482533,0.75,0.375,0.9444444444444444,0.0555555555555555,0.5563157543065753,0.5951190357119042,0.719403933305501,0.4735576923076923,17,1,5,3,0.625
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,0,{},0.64,0.3076923076923077,0.5317460317460316,0.0667501565762345,0.3333333333333333,0.2857142857142857,0.7777777777777778,0.2222222222222222,0.471044993557091,0.4714045207910317,0.6003336113685631,0.2952380952380952,14,4,5,2,0.7142857142857143
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,0,{},0.72,0.4615384615384615,0.6309523809523809,0.2753443958769674,0.5,0.4285714285714285,0.8333333333333334,0.1666666666666666,0.5791031064365788,0.5976143046671968,0.6503614123159434,0.3742857142857143,15,3,4,3,0.5714285714285714
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,3,0,{},0.52,0.4545454545454545,0.5477941176470588,0.0898283738337021,0.3571428571428571,0.625,0.4705882352941176,0.5294117647058824,0.5412507130201746,0.5423261445466404,0.4976137511891485,0.3432142857142857,8,9,3,5,0.375
